Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
194,JaMychal Green\greenja01,PF,25,MEM,78,15,18.5,2.9,6.3,.465,0.2,0.6,.333,2.8,5.8,.478,.480,1.3,1.8,.752,1.8,3.0,4.8,0.9,0.6,0.4,1.1,2.4,7.4
195,Jeff Green\greenje02,SF,29,TOT,80,41,28.2,4.4,10.3,.430,0.8,2.7,.315,3.6,7.6,.470,.470,2.1,2.8,.745,0.9,3.2,4.2,1.7,0.7,0.5,1.2,2.1,11.7
196,Jeff Green\greenje02,SF,29,MEM,53,31,29.1,4.5,10.5,.431,0.8,2.6,.309,3.7,7.9,.470,.469,2.3,2.9,.800,1.0,3.5,4.5,1.8,0.8,0.4,1.3,1.9,12.2
197,Jeff Green\greenje02,SF,29,LAC,27,10,26.3,4.2,9.9,.427,0.9,2.9,.325,3.3,7.0,.468,.474,1.5,2.4,.615,0.7,2.7,3.4,1.5,0.7,0.8,0.9,2.3,10.9
198,Blake Griffin\griffbl01,PF,26,LAC,35,35,33.4,8.6,17.2,.499,0.2,0.5,.333,8.4,16.7,.504,.504,4.0,5.5,.727,1.5,6.9,8.4,4.9,0.8,0.5,2.4,2.7,21.4
199,Jorge Gutierrez\gutiejo01,PG,27,CHO,12,0,5.3,0.5,0.9,.545,0.0,0.2,.000,0.5,0.8,.667,.545,0.8,0.9,.909,0.0,0.6,0.6,1.4,0.3,0.0,0.5,0.3,1.8
200,P.J. Hairston\hairspj02,SF,23,TOT,66,52,19.9,2.2,6.2,.355,1.1,3.7,.290,1.1,2.5,.449,.441,0.8,1.0,.781,0.4,2.3,2.6,0.6,0.5,0.2,0.6,2.1,6.2
201,P.J. Hairston\hairspj02,SF,23,CHO,48,43,19.5,2.1,5.8,.359,1.1,3.6,.314,0.9,2.2,.433,.457,0.7,0.9,.810,0.4,2.3,2.7,0.6,0.5,0.1,0.5,2.2,6.0
202,P.J. Hairston\hairspj02,SF,23,MEM,18,9,20.8,2.6,7.3,.348,0.9,3.8,.232,1.7,3.5,.476,.409,0.9,1.2,.727,0.4,2.2,2.6,0.5,0.4,0.2,0.9,1.7,6.9
203,Jordan Hamilton\hamiljo02,SF,25,NOP,11,4,27.6,4.5,10.5,.422,1.2,4.1,.289,3.3,6.5,.507,.478,1.3,1.9,.667,1.1,4.5,5.6,2.3,0.7,0.3,1.5,2.2,11.4
